rank,name,industry,exchange,code,rate,market_cap
1,Apple,資訊硬體, - Apple Inc. (NASDAQ),USD,1.0,93369600000000
2,Amazon.com,電商," - Amazon.com, Inc. (NASDAQ)",USD,1.0,89459400000000
3,Alphabet,網路服務, - Alphabet Inc Class A (NASDAQ),USD,1.0,83563100000000
4,Microsoft,軟體, - Microsoft Corporation (NASDAQ),USD,1.0,82212400000000
5,Facebook,網路服務," - Facebook, Inc. Common Stock (NASDAQ)",USD,1.0,61140700000000
6,Alibaba,電商, - Alibaba Group Holding Ltd (NYSE),USD,1.0,48840800000000
7,Tencent Holdings,網路服務, - 騰訊 (HKG),HKD,0.1274,45609200000000
8,Samsung Electronics,半導體, - Samsung Electronics Co Ltd (KRX),KRW,0.0009,30555900000000
9,Intel,半導體, - Intel Corporation (NASDAQ),USD,1.0,24069100000000
10,AT&T,電信, - AT&T Inc. (NYSE),USD,1.0,23104500000000
11,Verizon Communications,電信, - Verizon Communications Inc. (NYSE),USD,1.0,21076400000000
12,Taiwan Semiconductor,半導體, - 台灣積體電路製造 (TPE),TWD,0.03265357,20114599120000
13,Cisco Systems,通訊設備," - Cisco Systems, Inc. (NASDAQ)",USD,1.0,19668300000000
14,Oracle,軟體, - Oracle Corporation (NYSE),USD,1.0,19396300000000
15,China Mobile,電信, - 中國移動 (HKG),HKD,0.1274,17836000000000
16,Netflix,網路服務," - Netflix, Inc. (NASDAQ)",USD,1.0,16164300000000
17,NVIDIA,半導體, - NVIDIA Corporation (NASDAQ),USD,1.0,15209100000000
18,SAP,軟體, - SAP SE (ETR),EUR,1.167,14860461300000
19,International Business Machines,資訊服務, - IBM Common Stock (NYSE),USD,1.0,13009600000000
20,Adobe Systems,軟體, - Adobe Systems Incorporated (NASDAQ),USD,1.0,12713500000000
21,3M,材料, - 3M Co (NYSE),USD,1.0,12025300000000
22,Siemens,工業, - Siemens AG (ETR),EUR,1.167,11623320000000
23,Honeywell International,工業, - Honeywell International Inc. (NYSE),USD,1.0,11562600000000
24,General Electric,工業, - General Electric Company (NYSE),USD,1.0,11411800000000
25,Texas Instruments,半導體, - Texas Instruments Incorporated (NASDAQ),USD,1.0,11364600000000
